Date,Open,High,Low,Close,Volume,Adj Close
04-03-2016,16945,17062.38086,16898.83984,17006.76953,106910000,17006.76953
03-03-2016,16896.16992,16944.31055,16820.73047,16943.90039,91110000,16943.90039
02-03-2016,16851.16992,16900.16992,16766.32031,16899.32031,104470000,16899.32031
01-03-2016,16545.66992,16865.56055,16545.66992,16865.08008,105050000,16865.08008
29-02-2016,16634.15039,16726.11914,16510.40039,16516.5,126220000,16516.5
26-02-2016,16712.69922,16795.98047,16623.91016,16639.9707,98480000,16639.9707
25-02-2016,16504.38086,16697.98047,16458.41992,16697.28906,94120000,16697.28906
24-02-2016,16418.83984,16507.39063,16165.86035,16484.99023,93620000,16484.99023
23-02-2016,16610.39063,16610.39063,16403.5293,16431.7793,98170000,16431.7793
22-02-2016,16417.13086,16664.24023,16417.13086,16620.66016,102240000,16620.66016
19-02-2016,16410.96094,16410.96094,16278,16391.99023,134340000,16391.99023
18-02-2016,16483.75977,16511.83984,16390.42969,16413.42969,104950000,16413.42969
17-02-2016,16217.98047,16486.11914,16217.98047,16453.83008,124080000,16453.83008
16-02-2016,16012.38965,16196.41016,16012.38965,16196.41016,142030000,16196.41016
12-02-2016,15691.62012,15974.04004,15691.62012,15973.83984,132550000,15973.83984
11-02-2016,15897.82031,15897.82031,15503.00977,15660.17969,172070000,15660.17969
10-02-2016,16035.61035,16201.88965,15899.91016,15914.74023,122290000,15914.74023
09-02-2016,16005.41016,16136.62012,15881.11035,16014.37988,127740000,16014.37988
08-02-2016,16147.50977,16147.50977,15803.54981,16027.04981,165880000,16027.04981
05-02-2016,16417.94922,16423.63086,16129.80957,16204.96973,139010000,16204.96973
04-02-2016,16329.66992,16485.83984,16266.16016,16416.58008,131490000,16416.58008
03-02-2016,16186.2002,16381.69043,15960.4502,16336.66016,141870000,16336.66016
02-02-2016,16420.21094,16420.21094,16108.44043,16153.54004,126210000,16153.54004
01-02-2016,16453.63086,16510.98047,16299.46973,16449.17969,114450000,16449.17969
29-01-2016,16090.25977,16466.30078,16090.25977,16466.30078,217940000,16466.30078
28-01-2016,15960.28027,16102.13965,15863.71973,16069.63965,130120000,16069.63965
27-01-2016,16168.74023,16235.03027,15878.29981,15944.45996,138350000,15944.45996
26-01-2016,15893.16016,16185.79004,15893.16016,16167.23047,118210000,16167.23047
25-01-2016,16086.45996,16086.45996,15880.15039,15885.21973,123250000,15885.21973
22-01-2016,15921.09961,16136.79004,15921.09961,16093.50977,145850000,16093.50977
21-01-2016,15768.87012,16038.58984,15704.66016,15882.67969,145140000,15882.67969
